use_other,textualizer,encoder,source,target,setting,balanced_accuracy,family
False,CivitareseTextualSummary,SentenceTransformersVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.6056194125159642,summarized
False,CivitareseTextualSummary,SentenceTransformersVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.4313063000016795,summarized
False,CivitareseTextualSummary,SentenceTransformersVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.46360287998842215,summarized
False,CivitareseTextualSummary,SentenceTransformersVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.5295289855072464,summarized
False,CivitareseTextualSummary,SentenceTransformersVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.453090096798213,summarized
False,CivitareseTextualSummary,SentenceTransformersVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.3988655321988655,summarized
False,CivitareseTextualSummary,SentenceTransformersVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.6863557105492589,summarized
False,CivitareseTextualSummary,SentenceTransformersVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.607088122605364,summarized
False,CivitareseTextualSummary,SentenceTransformersVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.7546875188441452,summarized
False,CivitareseTextualSummary,SentenceTransformersVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.5946599825632084,summarized
False,CivitareseTextualSummary,SentenceTransformersVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.5763090676883781,summarized
False,CivitareseTextualSummary,SentenceTransformersVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.9677516576250754,summarized
False,CivitareseTextualSummary,TfidfVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.5818539804171988,summarized
False,CivitareseTextualSummary,TfidfVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.19493670886075948,summarized
False,CivitareseTextualSummary,TfidfVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.31830300179697774,summarized
False,CivitareseTextualSummary,TfidfVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.6481456561751092,summarized
False,CivitareseTextualSummary,TfidfVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.34313725490196073,summarized
False,CivitareseTextualSummary,TfidfVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.40540540540540543,summarized
False,CivitareseTextualSummary,TfidfVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.4864422627395979,summarized
