use_other,textualizer,encoder,source,target,setting,balanced_accuracy,family
False,CompoundTextualSummary,TfidfVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.6298212005108557,summarized
False,CompoundTextualSummary,TfidfVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.44002737670684533,summarized
False,CompoundTextualSummary,TfidfVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.6054259078355464,summarized
False,CompoundTextualSummary,TfidfVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.5662828150731377,summarized
False,CompoundTextualSummary,TfidfVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.5811774409963852,summarized
False,CompoundTextualSummary,TfidfVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.5523223309367887,summarized
False,CompoundTextualSummary,TfidfVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.7226024411508283,summarized
False,CompoundTextualSummary,TfidfVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.6534269902085993,summarized
False,CompoundTextualSummary,TfidfVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.8832683084691116,summarized
False,CompoundTextualSummary,TfidfVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.6133783783783784,summarized
False,CompoundTextualSummary,TfidfVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.762771392081737,summarized
False,CompoundTextualSummary,TfidfVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.9299276672694394,summarized
False,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.6059812686249467,summarized
False,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.4396735509660227,summarized
False,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.5119696805238974,summarized
False,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.5851576681871212,summarized
False,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.43224125093075205,summarized
False,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.5801313361554326,summarized
False,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.7107105492589364,summarized
False,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.7388676032354193,summarized
False,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.9096169462635325,summarized
False,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.6310810810810811,summarized
False,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.7598978288633461,summarized
False,CompoundTextualSummaryNoDuration,TfidfVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.991477903619809,summarized
False,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.6457854406130269,summarized
False,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.5673604151853946,summarized
False,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.7427560090210692,summarized
False,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.6473573678868209,summarized
False,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.386572350459171,summarized
False,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.5051557581678064,summarized
False,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.7736835222319093,summarized
False,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.7343260188087775,summarized
False,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.8935526892354201,summarized
False,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.5897297297297298,summarized
False,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.7755427841634738,summarized
False,CompoundTextualSummaryNoRoom,TfidfVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.9697780844516354,summarized
False,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.6309919114516815,summarized
False,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.5705006186351955,summarized
False,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.6936251914565167,summarized
False,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.6629795117698344,summarized
False,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.6413502109704642,summarized
False,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.6066351492054303,summarized
False,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.7597646033129904,summarized
False,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.7353128991060025,summarized
False,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.8923315886167291,summarized
False,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.6233783783783784,summarized
False,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.7598978288633461,summarized
False,CompoundTextualSummaryNoTime,TfidfVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.9656419529837251,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.4938058748403576,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.5789826390249637,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.5167566361542265,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.5792385302553605,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.6946207197069367,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.61066277120494,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.48133783152015963,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.3395680947405085,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.5876737896818218,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.6479311499437725,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.ORDB,TestBed.CASM,cross_domain,0.4326521924223074,summarized
False,CompoundTextualSummaryNoTokens,TfidfVectorizer,TestBed.ORDB,TestBed.ORDA,cross_domain,0.8183988452143017,summarized
False,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.CASA,TestBed.CASM,cross_domain,0.6059812686249467,summarized
False,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.CASA,TestBed.ORDA,cross_domain,0.47295528471215265,summarized
False,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.CASA,TestBed.ORDB,cross_domain,0.5604654051642004,summarized
False,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.CASM,TestBed.CASA,cross_domain,0.6583183288477817,summarized
False,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.CASM,TestBed.ORDA,cross_domain,0.4401477446408277,summarized
False,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.CASM,TestBed.ORDB,cross_domain,0.6694474595077006,summarized
False,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.ORDA,TestBed.CASA,cross_domain,0.6944943330427201,summarized
False,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.ORDA,TestBed.CASM,cross_domain,0.7357386121753938,summarized
False,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.ORDA,TestBed.ORDB,cross_domain,0.9266580837865978,summarized
False,CompoundTextualSummaryNoType,TfidfVectorizer,TestBed.ORDB,TestBed.CASA,cross_domain,0.5536486486486487,summarized
