start,end,name
2010-11-04 00:03:50.209589000,2010-11-04 05:40:43.642664000,SLEEPING
2010-11-04 05:40:43.642664000,2010-11-04 05:40:51.303739000,IDLE
2010-11-04 05:40:51.303739000,2010-11-04 05:43:30.279021000,BED_TO_TOILET
2010-11-04 05:43:30.279021000,2010-11-04 05:43:45.732400000,IDLE
2010-11-04 05:43:45.732400000,2010-11-04 08:01:12.282970000,SLEEPING
2010-11-04 08:01:12.282970000,2010-11-04 08:11:09.966157000,IDLE
2010-11-04 08:11:09.966157000,2010-11-04 08:27:02.801314000,MEAL_PREPARATION
2010-11-04 08:27:02.801314000,2010-11-04 08:33:52.929406000,IDLE
2010-11-04 08:33:52.929406000,2010-11-04 08:35:45.822482000,MEAL_PREPARATION
2010-11-04 08:35:45.822482000,2010-11-04 09:29:23.223133000,IDLE
2010-11-04 09:29:23.223133000,2010-11-04 09:34:05.780570000,RELAX
2010-11-04 09:34:05.780570000,2010-11-04 09:34:16.851472000,IDLE
2010-11-04 09:34:16.851472000,2010-11-04 09:44:40.315639000,HOUSEKEEPING
2010-11-04 09:44:40.315639000,2010-11-04 09:48:52.342223000,IDLE
2010-11-04 09:48:52.342223000,2010-11-04 09:53:02.954445000,MEAL_PREPARATION
2010-11-04 09:53:02.954445000,2010-11-04 09:54:58.753743000,IDLE
2010-11-04 09:54:58.753743000,2010-11-04 09:56:27.334395000,MEAL_PREPARATION
2010-11-04 09:56:27.334395000,2010-11-04 09:56:41.831135000,IDLE
2010-11-04 09:56:41.831135000,2010-11-04 09:59:04.438334000,EATING
2010-11-04 09:59:04.438334000,2010-11-04 09:59:47.894921000,IDLE
2010-11-04 09:59:47.894921000,2010-11-04 10:02:48.972200000,EATING
2010-11-04 10:02:48.972200000,2010-11-04 10:03:21.966597000,IDLE
2010-11-04 10:03:21.966597000,2010-11-04 10:04:25.772378000,WASH_DISHES
2010-11-04 10:04:25.772378000,2010-11-04 11:29:08.108298000,IDLE
2010-11-04 11:29:08.108298000,2010-11-04 11:33:48.313567000,HOUSEKEEPING
2010-11-04 11:33:48.313567000,2010-11-04 11:41:34.029848000,IDLE
2010-11-04 11:41:34.029848000,2010-11-04 11:41:43.345957000,LEAVE_HOME
2010-11-04 11:41:43.345957000,2010-11-04 11:43:30.094537000,IDLE
2010-11-04 11:43:30.094537000,2010-11-04 11:43:34.683398000,ENTER_HOME
2010-11-04 11:43:34.683398000,2010-11-04 11:43:53.784103000,IDLE
2010-11-04 11:43:53.784103000,2010-11-04 11:43:58.371827000,LEAVE_HOME
2010-11-04 11:43:58.371827000,2010-11-04 11:47:48.042367000,IDLE
2010-11-04 11:47:48.042367000,2010-11-04 11:47:52.575602000,ENTER_HOME
2010-11-04 11:47:52.575602000,2010-11-04 14:46:25.648668000,IDLE
2010-11-04 14:46:25.648668000,2010-11-04 15:13:24.311043000,RELAX
2010-11-04 15:13:24.311043000,2010-11-04 15:23:00.012287000,IDLE
2010-11-04 15:23:00.012287000,2010-11-04 15:25:33.571046000,MEAL_PREPARATION
2010-11-04 15:25:33.571046000,2010-11-04 15:25:35.233346000,IDLE
2010-11-04 15:25:35.233346000,2010-11-04 15:28:42.550415000,EATING
2010-11-04 15:28:42.550415000,2010-11-04 15:47:48.178484000,IDLE
2010-11-04 15:47:48.178484000,2010-11-04 16:10:33.632772000,WORK
2010-11-04 16:10:33.632772000,2010-11-04 16:15:57.476492000,IDLE
2010-11-04 16:15:57.476492000,2010-11-04 16:21:58.473670000,RELAX
2010-11-04 16:21:58.473670000,2010-11-04 16:21:59.792013000,IDLE
2010-11-04 16:21:59.792013000,2010-11-04 16:31:26.780941000,MEAL_PREPARATION
2010-11-04 16:31:26.780941000,2010-11-04 16:32:53.242195999,IDLE
2010-11-04 16:32:53.242195999,2010-11-04 16:34:13.718409000,MEAL_PREPARATION
2010-11-04 16:34:13.718409000,2010-11-04 16:36:10.081963000,IDLE
2010-11-04 16:36:10.081963000,2010-11-04 17:06:00.365984000,MEAL_PREPARATION
2010-11-04 17:06:00.365984000,2010-11-04 17:06:21.690589000,IDLE
2010-11-04 17:06:21.690589000,2010-11-04 17:27:12.160580000,RELAX
2010-11-04 17:27:12.160580000,2010-11-04 17:27:13.899589000,IDLE
2010-11-04 17:27:13.899589000,2010-11-04 17:27:55.351855000,MEAL_PREPARATION
2010-11-04 17:27:55.351855000,2010-11-04 17:28:26.929572000,IDLE
2010-11-04 17:28:26.929572000,2010-11-04 17:33:54.754187000,RELAX
2010-11-04 17:33:54.754187000,2010-11-04 17:35:16.153016000,IDLE
2010-11-04 17:35:16.153016000,2010-11-04 17:37:11.693732000,EATING
2010-11-04 17:37:11.693732000,2010-11-04 17:37:24.341683999,IDLE
2010-11-04 17:37:24.341683999,2010-11-04 17:55:20.509057000,WASH_DISHES
2010-11-04 17:55:20.509057000,2010-11-04 17:55:24.901401000,IDLE
2010-11-04 17:55:24.901401000,2010-11-04 17:57:47.397780000,WORK
2010-11-04 17:57:47.397780000,2010-11-05 00:00:11.187975000,IDLE
2010-11-05 00:00:11.187975000,2010-11-05 04:18:05.416805000,SLEEPING
2010-11-05 04:18:05.416805000,2010-11-05 04:18:09.406239000,IDLE
2010-11-05 04:18:09.406239000,2010-11-05 04:20:50.109684000,BED_TO_TOILET
2010-11-05 04:20:50.109684000,2010-11-05 04:21:04.241472000,IDLE
2010-11-05 04:21:04.241472000,2010-11-05 07:48:11.449954000,SLEEPING
2010-11-05 07:48:11.449954000,2010-11-05 07:54:57.970369000,IDLE
2010-11-05 07:54:57.970369000,2010-11-05 07:58:23.566091000,MEAL_PREPARATION
2010-11-05 07:58:23.566091000,2010-11-05 07:58:49.065697000,IDLE
2010-11-05 07:58:49.065697000,2010-11-05 08:00:59.944280000,WORK
2010-11-05 08:00:59.944280000,2010-11-05 08:22:17.676499000,IDLE
2010-11-05 08:22:17.676499000,2010-11-05 08:35:20.117954000,WORK
2010-11-05 08:35:20.117954000,2010-11-05 08:35:50.265168000,IDLE
2010-11-05 08:35:50.265168000,2010-11-05 08:57:18.702855000,WORK
2010-11-05 08:57:18.702855000,2010-11-05 09:04:06.011468000,IDLE
2010-11-05 09:04:06.011468000,2010-11-05 09:05:14.891311000,WORK
2010-11-05 09:05:14.891311000,2010-11-05 09:26:22.307149000,IDLE
2010-11-05 09:26:22.307149000,2010-11-05 09:30:15.583194000,WORK
2010-11-05 09:30:15.583194000,2010-11-05 09:35:08.728049000,IDLE
2010-11-05 09:35:08.728049000,2010-11-05 09:37:03.463118000,RELAX
2010-11-05 09:37:03.463118000,2010-11-05 09:42:01.926042000,IDLE
2010-11-05 09:42:01.926042000,2010-11-05 11:12:02.564360000,HOUSEKEEPING
2010-11-05 11:12:02.564360000,2010-11-05 11:14:14.724634000,IDLE
2010-11-05 11:14:14.724634000,2010-11-05 11:14:43.114534000,LEAVE_HOME
2010-11-05 11:14:43.114534000,2010-11-05 12:48:12.332642000,IDLE
2010-11-05 12:48:12.332642000,2010-11-05 12:48:16.949591000,ENTER_HOME
2010-11-05 12:48:16.949591000,2010-11-05 12:59:38.064949000,IDLE
2010-11-05 12:59:38.064949000,2010-11-05 13:00:23.781043000,LEAVE_HOME
2010-11-05 13:00:23.781043000,2010-11-05 13:00:33.391399000,IDLE
2010-11-05 13:00:33.391399000,2010-11-05 13:01:23.042940000,ENTER_HOME
2010-11-05 13:01:23.042940000,2010-11-05 13:25:15.390393000,IDLE
2010-11-05 13:25:15.390393000,2010-11-05 13:25:20.021554000,LEAVE_HOME
2010-11-05 13:25:20.021554000,2010-11-05 13:25:30.548695000,IDLE
2010-11-05 13:25:30.548695000,2010-11-05 13:25:35.120939000,ENTER_HOME
2010-11-05 13:25:35.120939000,2010-11-05 13:27:35.194985000,IDLE
2010-11-05 13:27:35.194985000,2010-11-05 13:30:09.241181000,WORK
2010-11-05 13:30:09.241181000,2010-11-05 13:38:02.788861000,IDLE
2010-11-05 13:38:02.788861000,2010-11-05 13:45:53.711038999,RELAX
2010-11-05 13:45:53.711038999,2010-11-05 13:49:02.323380000,IDLE
2010-11-05 13:49:02.323380000,2010-11-05 13:49:08.753927000,LEAVE_HOME
2010-11-05 13:49:08.753927000,2010-11-05 15:50:59.393661000,IDLE
2010-11-05 15:50:59.393661000,2010-11-05 15:51:04.444616000,ENTER_HOME
