start,end,name
2009-10-16 03:55:53.000080000,2009-10-16 03:58:28.000002000,BED_TO_TOILET
2009-10-16 03:58:28.000002000,2009-10-16 03:58:44.000068000,IDLE
2009-10-16 03:58:44.000068000,2009-10-16 08:40:01.000075000,SLEEP
2009-10-16 08:40:01.000075000,2009-10-16 08:42:01.000077000,IDLE
2009-10-16 08:42:01.000077000,2009-10-16 08:42:56.000081000,MORNING_MEDS
2009-10-16 08:42:56.000081000,2009-10-16 08:43:59.000024000,IDLE
2009-10-16 08:43:59.000024000,2009-10-16 08:44:29.000026000,WATCH_TV
2009-10-16 08:44:29.000026000,2009-10-16 08:45:38.000076000,IDLE
2009-10-16 08:45:38.000076000,2009-10-16 08:58:52.000004000,KITCHEN_ACTIVITY
2009-10-16 08:58:52.000004000,2009-10-16 08:59:02.000054000,IDLE
2009-10-16 08:59:02.000054000,2009-10-16 09:14:47.000090000,CHORES
2009-10-16 09:14:47.000090000,2009-10-16 09:16:01.000001000,IDLE
2009-10-16 09:16:01.000001000,2009-10-16 09:16:33.000051000,LEAVE_HOME
2009-10-16 09:16:33.000051000,2009-10-16 09:18:00.000007000,IDLE
2009-10-16 09:18:00.000007000,2009-10-16 10:01:38.000060000,READ
2009-10-16 10:01:38.000060000,2009-10-16 10:01:50.000022000,IDLE
2009-10-16 10:01:50.000022000,2009-10-16 10:04:14.000018000,CHORES
2009-10-16 10:04:14.000018000,2009-10-16 10:07:19.000060000,IDLE
2009-10-16 10:07:19.000060000,2009-10-16 10:38:15.000042000,READ
2009-10-16 10:38:15.000042000,2009-10-16 10:50:21.000006000,IDLE
2009-10-16 10:50:21.000006000,2009-10-16 11:01:22.000067000,CHORES
2009-10-16 11:01:22.000067000,2009-10-16 11:01:25.000094000,IDLE
2009-10-16 11:01:25.000094000,2009-10-16 11:03:50.000027000,GUEST_BATHROOM
2009-10-16 11:03:50.000027000,2009-10-16 11:14:19.000083000,IDLE
2009-10-16 11:14:19.000083000,2009-10-16 11:27:54.000018000,MASTER_BATHROOM
2009-10-16 11:27:54.000018000,2009-10-16 12:32:50.000047000,IDLE
2009-10-16 12:32:50.000047000,2009-10-16 14:43:42.000025000,LEAVE_HOME
2009-10-16 14:43:42.000025000,2009-10-16 14:43:56.000003000,IDLE
2009-10-16 14:43:56.000003000,2009-10-16 14:49:54.000046000,KITCHEN_ACTIVITY
2009-10-16 14:49:54.000046000,2009-10-16 14:50:01.000011000,LEAVE_HOME
2009-10-16 14:50:01.000011000,2009-10-16 15:52:43.000058000,IDLE
2009-10-16 15:52:43.000058000,2009-10-16 17:10:48.000044000,WATCH_TV
2009-10-16 17:10:48.000044000,2009-10-16 17:11:41.000031000,IDLE
2009-10-16 17:11:41.000031000,2009-10-16 17:22:30.000001000,DESK_ACTIVITY
2009-10-16 17:22:30.000001000,2009-10-16 17:23:41.000065000,IDLE
2009-10-16 17:23:41.000065000,2009-10-16 17:24:54.000052000,MASTER_BATHROOM
2009-10-16 17:24:54.000052000,2009-10-16 17:35:34.000054000,IDLE
2009-10-16 17:35:34.000054000,2009-10-16 18:30:14.000001000,WATCH_TV
2009-10-16 18:30:14.000001000,2009-10-16 18:30:24.000078000,IDLE
2009-10-16 18:30:24.000078000,2009-10-16 18:50:37.000084000,KITCHEN_ACTIVITY
2009-10-16 18:50:37.000084000,2009-10-16 18:50:58.000069000,IDLE
2009-10-16 18:50:58.000069000,2009-10-16 18:51:44.000023000,LEAVE_HOME
2009-10-16 18:51:44.000023000,2009-10-16 18:52:14.000008000,IDLE
2009-10-16 18:52:14.000008000,2009-10-16 18:56:22.000098000,DESK_ACTIVITY
2009-10-16 18:56:22.000098000,2009-10-16 18:56:26.000040000,IDLE
2009-10-16 18:56:26.000040000,2009-10-16 20:36:09.000029000,WATCH_TV
2009-10-16 20:36:09.000029000,2009-10-16 20:36:20.000020000,IDLE
2009-10-16 20:36:20.000020000,2009-10-16 20:36:31.000041000,EVE_MEDS
2009-10-16 20:36:31.000041000,2009-10-16 20:39:14.000068000,IDLE
2009-10-16 20:39:14.000068000,2009-10-16 20:40:16.000024000,GUEST_BATHROOM
2009-10-16 20:40:16.000024000,2009-10-16 20:40:23.000097000,IDLE
2009-10-16 20:40:23.000097000,2009-10-16 20:40:53.000013000,KITCHEN_ACTIVITY
2009-10-16 20:40:53.000013000,2009-10-16 20:41:12.000040000,IDLE
2009-10-16 20:41:12.000040000,2009-10-16 20:54:29.000053000,MASTER_BATHROOM
2009-10-16 20:54:29.000053000,2009-10-16 21:03:28.000034000,IDLE
2009-10-16 21:03:28.000034000,2009-10-16 21:29:11.000031000,SLEEP
2009-10-16 21:29:11.000031000,2009-10-16 21:29:11.000043000,IDLE
2009-10-16 21:29:11.000043000,2009-10-16 21:31:00.000057000,BED_TO_TOILET
2009-10-16 21:31:00.000057000,2009-10-16 22:20:15.000033000,IDLE
2009-10-16 22:20:15.000033000,2009-10-16 22:21:22.000045000,BED_TO_TOILET
2009-10-16 22:21:22.000045000,2009-10-16 22:21:23.000034000,IDLE
2009-10-16 22:21:23.000034000,2009-10-17 09:14:11.000075000,SLEEP
2009-10-17 09:14:11.000075000,2009-10-17 09:17:51.000087000,IDLE
2009-10-17 09:17:51.000087000,2009-10-17 09:18:13.000095000,MORNING_MEDS
2009-10-17 09:18:13.000095000,2009-10-17 09:20:47.000064000,IDLE
2009-10-17 09:20:47.000064000,2009-10-17 09:21:33.000070000,LEAVE_HOME
2009-10-17 09:21:33.000070000,2009-10-17 09:29:48.000041000,IDLE
2009-10-17 09:29:48.000041000,2009-10-17 10:35:36.000031000,READ
2009-10-17 10:35:36.000031000,2009-10-17 10:35:50.000049000,IDLE
2009-10-17 10:35:50.000049000,2009-10-17 11:04:41.000051000,KITCHEN_ACTIVITY
2009-10-17 11:04:41.000051000,2009-10-17 12:06:33.000020000,CHORES
2009-10-17 12:06:33.000020000,2009-10-17 12:08:44.000004000,IDLE
2009-10-17 12:08:44.000004000,2009-10-17 12:46:35.000081000,READ
2009-10-17 12:46:35.000081000,2009-10-17 12:48:01.000004000,IDLE
2009-10-17 12:48:01.000004000,2009-10-17 12:49:21.000086000,CHORES
2009-10-17 12:49:21.000086000,2009-10-17 12:50:24.000073000,GUEST_BATHROOM
2009-10-17 12:50:24.000073000,2009-10-17 12:50:33.000054000,IDLE
2009-10-17 12:50:33.000054000,2009-10-17 13:21:16.000034000,KITCHEN_ACTIVITY
2009-10-17 13:21:16.000034000,2009-10-17 13:34:02.000075000,IDLE
2009-10-17 13:34:02.000075000,2009-10-17 13:39:11.000035000,MASTER_BATHROOM
2009-10-17 13:39:11.000035000,2009-10-17 13:41:08.000004000,IDLE
2009-10-17 13:41:08.000004000,2009-10-17 14:30:15.000097000,LEAVE_HOME
2009-10-17 14:30:15.000097000,2009-10-17 14:33:06.000068000,IDLE
2009-10-17 14:33:06.000068000,2009-10-17 14:51:27.000038000,WATCH_TV
2009-10-17 14:51:27.000038000,2009-10-17 14:51:28.000098000,IDLE
2009-10-17 14:51:28.000098000,2009-10-17 14:53:43.000072000,DESK_ACTIVITY
2009-10-17 14:53:43.000072000,2009-10-17 14:55:24.000048000,IDLE
2009-10-17 14:55:24.000048000,2009-10-17 15:32:05.000091000,CHORES
2009-10-17 15:32:05.000091000,2009-10-17 15:33:13.000087000,LEAVE_HOME
2009-10-17 15:33:13.000087000,2009-10-17 16:10:13.000068000,IDLE
2009-10-17 16:10:13.000068000,2009-10-17 16:12:02.000092000,GUEST_BATHROOM
2009-10-17 16:12:02.000092000,2009-10-17 16:12:19.000082000,IDLE
2009-10-17 16:12:19.000082000,2009-10-17 16:40:29.000004000,READ
2009-10-17 16:40:29.000004000,2009-10-17 16:40:36.000039000,IDLE
2009-10-17 16:40:36.000039000,2009-10-17 16:42:05.000060000,LEAVE_HOME
2009-10-17 16:42:05.000060000,2009-10-17 16:53:41.000038000,IDLE
2009-10-17 16:53:41.000038000,2009-10-17 17:32:17.000027000,READ
2009-10-17 17:32:17.000027000,2009-10-17 17:32:26.000078000,IDLE
2009-10-17 17:32:26.000078000,2009-10-17 17:34:33.000043000,GUEST_BATHROOM
2009-10-17 17:34:33.000043000,2009-10-17 17:34:53.000004000,IDLE
2009-10-17 17:34:53.000004000,2009-10-17 17:38:41.000077000,CHORES
2009-10-17 17:38:41.000077000,2009-10-17 17:38:52.000008000,IDLE
2009-10-17 17:38:52.000008000,2009-10-17 17:44:07.000078000,KITCHEN_ACTIVITY
2009-10-17 17:44:07.000078000,2009-10-17 17:49:55.000045000,WATCH_TV
2009-10-17 17:49:55.000045000,2009-10-17 20:25:03.000026000,IDLE
2009-10-17 20:25:03.000026000,2009-10-17 20:25:46.000034000,GUEST_BATHROOM
2009-10-17 20:25:46.000034000,2009-10-17 22:47:18.000065000,IDLE
2009-10-17 22:47:18.000065000,2009-10-17 22:49:02.000040000,MASTER_BATHROOM
2009-10-17 22:49:02.000040000,2009-10-17 22:51:04.000068000,IDLE
2009-10-17 22:51:04.000068000,2009-10-17 22:51:36.000045000,KITCHEN_ACTIVITY
2009-10-17 22:51:36.000045000,2009-10-17 23:01:58.000017000,IDLE
2009-10-17 23:01:58.000017000,2009-10-17 23:03:24.000084000,KITCHEN_ACTIVITY
2009-10-17 23:03:24.000084000,2009-10-17 23:10:00.000069000,IDLE
2009-10-17 23:10:00.000069000,2009-10-17 23:15:48.000000000,MASTER_BATHROOM
2009-10-17 23:15:48.000000000,2009-10-17 23:16:16.000042000,IDLE
2009-10-17 23:16:16.000042000,2009-10-17 23:30:25.000084000,SLEEP
2009-10-17 23:30:25.000084000,2009-10-17 23:30:29.000060000,IDLE
2009-10-17 23:30:29.000060000,2009-10-17 23:33:43.000024000,BED_TO_TOILET
2009-10-17 23:33:43.000024000,2009-10-17 23:33:43.000034000,IDLE
2009-10-17 23:33:43.000034000,2009-10-18 02:25:05.000026000,SLEEP
2009-10-18 02:25:05.000026000,2009-10-18 02:25:06.000005000,IDLE
2009-10-18 02:25:06.000005000,2009-10-18 02:26:20.000007000,BED_TO_TOILET
2009-10-18 02:26:20.000007000,2009-10-18 02:26:20.000056000,IDLE
2009-10-18 02:26:20.000056000,2009-10-18 08:00:58.000018000,SLEEP
2009-10-18 08:00:58.000018000,2009-10-18 08:01:05.000077000,IDLE
2009-10-18 08:01:05.000077000,2009-10-18 08:03:38.000030000,MASTER_BATHROOM
2009-10-18 08:03:38.000030000,2009-10-18 08:21:59.000086000,IDLE
2009-10-18 08:21:59.000086000,2009-10-18 08:22:10.000012000,MORNING_MEDS
2009-10-18 08:22:10.000012000,2009-10-18 08:22:24.000097000,IDLE
2009-10-18 08:22:24.000097000,2009-10-18 08:23:08.000018000,LEAVE_HOME
2009-10-18 08:23:08.000018000,2009-10-18 08:24:42.000054000,IDLE
2009-10-18 08:24:42.000054000,2009-10-18 08:30:09.000019000,READ
2009-10-18 08:30:09.000019000,2009-10-18 08:30:19.000090000,IDLE
2009-10-18 08:30:19.000090000,2009-10-18 08:32:18.000085000,KITCHEN_ACTIVITY
2009-10-18 08:32:18.000085000,2009-10-18 08:33:01.000091000,IDLE
2009-10-18 08:33:01.000091000,2009-10-18 09:09:31.000085000,READ
2009-10-18 09:09:31.000085000,2009-10-18 09:10:23.000002000,IDLE
2009-10-18 09:10:23.000002000,2009-10-18 09:15:18.000002000,DESK_ACTIVITY
2009-10-18 09:15:18.000002000,2009-10-18 09:15:18.000011000,IDLE
2009-10-18 09:15:18.000011000,2009-10-18 09:32:12.000025000,KITCHEN_ACTIVITY
2009-10-18 09:32:12.000025000,2009-10-18 09:33:47.000082000,IDLE
2009-10-18 09:33:47.000082000,2009-10-18 09:34:56.000073000,GUEST_BATHROOM
2009-10-18 09:34:56.000073000,2009-10-18 09:35:48.000005000,IDLE
2009-10-18 09:35:48.000005000,2009-10-18 09:45:36.000014000,MASTER_BATHROOM
2009-10-18 09:45:36.000014000,2009-10-18 09:46:07.000003000,IDLE
2009-10-18 09:46:07.000003000,2009-10-18 09:53:49.000068000,CHORES
2009-10-18 09:53:49.000068000,2009-10-18 09:53:50.000084000,IDLE
2009-10-18 09:53:50.000084000,2009-10-18 10:26:35.000068000,MASTER_BATHROOM
2009-10-18 10:26:35.000068000,2009-10-18 10:26:35.000080000,IDLE
2009-10-18 10:26:35.000080000,2009-10-18 10:31:12.000072000,CHORES
2009-10-18 10:31:12.000072000,2009-10-18 10:31:14.000095000,IDLE
2009-10-18 10:31:14.000095000,2009-10-18 10:40:15.000003000,READ
2009-10-18 10:40:15.000003000,2009-10-18 10:40:24.000099000,IDLE
2009-10-18 10:40:24.000099000,2009-10-18 10:40:39.000038000,KITCHEN_ACTIVITY
2009-10-18 10:40:39.000038000,2009-10-18 10:41:18.000006000,IDLE
2009-10-18 10:41:18.000006000,2009-10-18 11:54:30.000060000,LEAVE_HOME
2009-10-18 11:54:30.000060000,2009-10-18 11:55:39.000018000,IDLE
2009-10-18 11:55:39.000018000,2009-10-18 12:09:06.000079000,MASTER_BATHROOM
2009-10-18 12:09:06.000079000,2009-10-18 12:09:13.000082000,IDLE
2009-10-18 12:09:13.000082000,2009-10-18 12:13:54.000005000,CHORES
2009-10-18 12:13:54.000005000,2009-10-18 12:14:07.000039000,IDLE
2009-10-18 12:14:07.000039000,2009-10-18 12:51:06.000028000,READ
2009-10-18 12:51:06.000028000,2009-10-18 12:51:19.000094000,IDLE
2009-10-18 12:51:19.000094000,2009-10-18 13:27:01.000084000,KITCHEN_ACTIVITY
2009-10-18 13:27:01.000084000,2009-10-18 13:28:38.000086000,IDLE
2009-10-18 13:28:38.000086000,2009-10-18 13:42:23.000067000,READ
2009-10-18 13:42:23.000067000,2009-10-18 13:43:50.000074000,IDLE
2009-10-18 13:43:50.000074000,2009-10-18 13:45:32.000010000,GUEST_BATHROOM
2009-10-18 13:45:32.000010000,2009-10-18 13:45:36.000076000,IDLE
2009-10-18 13:45:36.000076000,2009-10-18 13:57:48.000040000,CHORES
2009-10-18 13:57:48.000040000,2009-10-18 14:01:32.000072000,IDLE
2009-10-18 14:01:32.000072000,2009-10-18 14:09:29.000075000,LEAVE_HOME
2009-10-18 14:09:29.000075000,2009-10-18 14:09:56.000041000,IDLE
2009-10-18 14:09:56.000041000,2009-10-18 14:10:46.000015000,LEAVE_HOME
2009-10-18 14:10:46.000015000,2009-10-18 14:22:24.000080000,IDLE
2009-10-18 14:22:24.000080000,2009-10-18 14:22:31.000032000,LEAVE_HOME
2009-10-18 14:22:31.000032000,2009-10-18 14:38:00.000045000,IDLE
2009-10-18 14:38:00.000045000,2009-10-18 14:40:54.000082000,MEDITATE
2009-10-18 14:40:54.000082000,2009-10-18 14:50:52.000094000,IDLE
2009-10-18 14:50:52.000094000,2009-10-18 16:11:14.000029000,READ
2009-10-18 16:11:14.000029000,2009-10-18 16:11:32.000086000,IDLE
2009-10-18 16:11:32.000086000,2009-10-18 16:42:13.000096000,KITCHEN_ACTIVITY
2009-10-18 16:42:13.000096000,2009-10-18 18:25:13.000006000,READ
2009-10-18 18:25:13.000006000,2009-10-18 18:39:43.000066000,IDLE
2009-10-18 18:39:43.000066000,2009-10-18 19:24:09.000068000,WATCH_TV
2009-10-18 19:24:09.000068000,2009-10-18 19:24:48.000037000,GUEST_BATHROOM
2009-10-18 19:24:48.000037000,2009-10-18 20:01:40.000054000,IDLE
2009-10-18 20:01:40.000054000,2009-10-18 20:02:38.000023000,GUEST_BATHROOM
2009-10-18 20:02:38.000023000,2009-10-18 20:14:54.000078000,IDLE
2009-10-18 20:14:54.000078000,2009-10-18 20:15:51.000006000,KITCHEN_ACTIVITY
2009-10-18 20:15:51.000006000,2009-10-18 20:46:21.000077000,IDLE
2009-10-18 20:46:21.000077000,2009-10-18 20:47:46.000071000,KITCHEN_ACTIVITY
2009-10-18 20:47:46.000071000,2009-10-18 21:05:14.000019000,IDLE
2009-10-18 21:05:14.000019000,2009-10-18 21:12:51.000049000,KITCHEN_ACTIVITY
2009-10-18 21:12:51.000049000,2009-10-18 21:16:08.000057000,IDLE
2009-10-18 21:16:08.000057000,2009-10-18 21:16:49.000016000,GUEST_BATHROOM
2009-10-18 21:16:49.000016000,2009-10-18 21:23:26.000004000,IDLE
2009-10-18 21:23:26.000004000,2009-10-18 21:23:38.000039000,KITCHEN_ACTIVITY
2009-10-18 21:23:38.000039000,2009-10-18 21:28:39.000010000,IDLE
2009-10-18 21:28:39.000010000,2009-10-18 21:29:58.000093000,MASTER_BATHROOM
2009-10-18 21:29:58.000093000,2009-10-18 21:31:07.000097000,IDLE
2009-10-18 21:31:07.000097000,2009-10-18 21:34:27.000091000,MASTER_BATHROOM
2009-10-18 21:34:27.000091000,2009-10-18 21:42:23.000007000,IDLE
2009-10-18 21:42:23.000007000,2009-10-19 04:43:36.000015000,SLEEP
2009-10-19 04:43:36.000015000,2009-10-19 04:43:37.000032000,IDLE
2009-10-19 04:43:37.000032000,2009-10-19 04:44:56.000031000,BED_TO_TOILET
2009-10-19 04:44:56.000031000,2009-10-19 04:45:03.000003000,IDLE
2009-10-19 04:45:03.000003000,2009-10-19 05:34:01.000036000,SLEEP
2009-10-19 05:34:01.000036000,2009-10-19 05:34:05.000059000,IDLE
2009-10-19 05:34:05.000059000,2009-10-19 05:35:43.000012000,BED_TO_TOILET
2009-10-19 05:35:43.000012000,2009-10-19 05:35:44.000059000,IDLE
2009-10-19 05:35:44.000059000,2009-10-19 08:15:12.000033000,SLEEP
2009-10-19 08:15:12.000033000,2009-10-19 08:15:34.000036000,IDLE
2009-10-19 08:15:34.000036000,2009-10-19 08:18:18.000051000,MASTER_BATHROOM
2009-10-19 08:18:18.000051000,2009-10-19 08:24:42.000068000,IDLE
2009-10-19 08:24:42.000068000,2009-10-19 08:25:54.000007000,MORNING_MEDS
2009-10-19 08:25:54.000007000,2009-10-19 08:26:31.000042000,IDLE
2009-10-19 08:26:31.000042000,2009-10-19 08:33:19.000011000,READ
2009-10-19 08:33:19.000011000,2009-10-19 08:33:41.000020000,IDLE
2009-10-19 08:33:41.000020000,2009-10-19 08:52:36.000079000,KITCHEN_ACTIVITY
2009-10-19 08:52:36.000079000,2009-10-19 08:52:52.000060000,IDLE
2009-10-19 08:52:52.000060000,2009-10-19 09:55:29.000065000,READ
2009-10-19 09:55:29.000065000,2009-10-19 10:00:16.000096000,IDLE
2009-10-19 10:00:16.000096000,2009-10-19 10:11:07.000098000,KITCHEN_ACTIVITY
2009-10-19 10:11:07.000098000,2009-10-19 10:11:17.000014000,IDLE
2009-10-19 10:11:17.000014000,2009-10-19 10:12:38.000088000,GUEST_BATHROOM
2009-10-19 10:12:38.000088000,2009-10-19 10:13:43.000042000,IDLE
2009-10-19 10:13:43.000042000,2009-10-19 10:28:38.000025000,READ
2009-10-19 10:28:38.000025000,2009-10-19 10:35:11.000081000,IDLE
2009-10-19 10:35:11.000081000,2009-10-19 11:09:36.000042000,READ
2009-10-19 11:09:36.000042000,2009-10-19 11:09:55.000069000,IDLE
2009-10-19 11:09:55.000069000,2009-10-19 11:13:00.000078000,CHORES
2009-10-19 11:13:00.000078000,2009-10-19 11:56:44.000001000,MASTER_BATHROOM
