start,end,name
2011-11-28 02:27:59,2011-11-28 10:18:11,SLEEPING
2011-11-28 10:18:11,2011-11-28 10:21:24,IDLE
2011-11-28 10:21:24,2011-11-28 10:23:36,TOILETING
2011-11-28 10:23:36,2011-11-28 10:25:44,IDLE
2011-11-28 10:25:44,2011-11-28 10:33:00,SHOWERING
2011-11-28 10:33:00,2011-11-28 10:34:23,IDLE
2011-11-28 10:34:23,2011-11-28 10:43:00,BREAKFAST
2011-11-28 10:43:00,2011-11-28 10:49:48,IDLE
2011-11-28 10:49:48,2011-11-28 10:51:13,GROOMING
2011-11-28 10:51:13,2011-11-28 10:51:41,IDLE
2011-11-28 10:51:41,2011-11-28 13:05:07,SPARE_TIME
2011-11-28 13:05:07,2011-11-28 13:06:04,IDLE
2011-11-28 13:06:04,2011-11-28 13:06:31,TOILETING
2011-11-28 13:06:31,2011-11-28 13:09:31,IDLE
2011-11-28 13:09:31,2011-11-28 13:29:09,LEAVING
2011-11-28 13:29:09,2011-11-28 13:38:40,IDLE
2011-11-28 13:38:40,2011-11-28 14:21:40,SPARE_TIME
2011-11-28 14:21:40,2011-11-28 14:22:38,IDLE
2011-11-28 14:22:38,2011-11-28 14:27:07,TOILETING
2011-11-28 14:27:07,2011-11-28 14:27:11,IDLE
2011-11-28 14:27:11,2011-11-28 15:04:00,LUNCH
2011-11-28 15:04:00,2011-11-28 15:04:59,IDLE
2011-11-28 15:04:59,2011-11-28 15:06:29,GROOMING
2011-11-28 15:06:29,2011-11-28 15:07:01,IDLE
2011-11-28 15:07:01,2011-11-28 20:20:00,SPARE_TIME
2011-11-28 20:20:00,2011-11-28 20:20:55,IDLE
2011-11-28 20:20:55,2011-11-28 20:20:59,SNACK
2011-11-28 20:20:59,2011-11-28 20:21:15,IDLE
2011-11-28 20:21:15,2011-11-29 02:06:00,SPARE_TIME
2011-11-29 02:06:00,2011-11-29 02:16:00,IDLE
2011-11-29 02:16:00,2011-11-29 11:31:00,SLEEPING
2011-11-29 11:31:00,2011-11-29 11:31:55,IDLE
2011-11-29 11:31:55,2011-11-29 11:36:55,TOILETING
2011-11-29 11:36:55,2011-11-29 11:37:38,IDLE
2011-11-29 11:37:38,2011-11-29 11:48:54,GROOMING
2011-11-29 11:48:54,2011-11-29 11:49:57,IDLE
2011-11-29 11:49:57,2011-11-29 11:51:13,SHOWERING
2011-11-29 11:51:13,2011-11-29 12:08:28,IDLE
2011-11-29 12:08:28,2011-11-29 12:18:00,BREAKFAST
2011-11-29 12:18:00,2011-11-29 12:19:01,IDLE
2011-11-29 12:19:01,2011-11-29 12:22:00,GROOMING
2011-11-29 12:22:00,2011-11-29 12:22:38,IDLE
2011-11-29 12:22:38,2011-11-29 12:24:59,SPARE_TIME
2011-11-29 12:24:59,2011-11-29 13:25:29,IDLE
2011-11-29 13:25:29,2011-11-29 13:25:32,SNACK
2011-11-29 13:25:32,2011-11-29 13:25:38,IDLE
2011-11-29 13:25:38,2011-11-29 15:12:26,SPARE_TIME
2011-11-29 15:12:26,2011-11-29 15:13:28,IDLE
2011-11-29 15:13:28,2011-11-29 15:13:57,TOILETING
